,Nodes,Layers,Filters,Kernels,Batch_Sizes,Optimizer,Activation,R Squared
0,300,3,80,10,80,Adam,relu,0.0011528175583085058
1,300,3,80,10,80,Adam,linear,7.758725642954738e-05
2,300,3,80,10,80,Adamax,relu,6.401213798762627e-05
3,300,3,80,10,80,Adamax,linear,0.00714230498098948
4,300,3,80,20,80,Adam,relu,0.004186592468387171
5,300,3,80,20,80,Adam,linear,0.0013510560272192056
6,300,3,80,20,80,Adamax,relu,0.005887393933231959
7,300,3,80,20,80,Adamax,linear,0.007740786045565367
8,300,3,120,10,80,Adam,relu,0.0006340885748611026
9,300,3,120,10,80,Adam,linear,0.0014296233320166241
10,300,3,120,10,80,Adamax,relu,5.013567318312262e-06
11,300,3,120,10,80,Adamax,linear,9.203427694778418e-05
12,300,3,120,20,80,Adam,relu,0.001636307373779943
13,300,3,120,20,80,Adam,linear,0.004310638139318324
14,300,3,120,20,80,Adamax,relu,0.002003649710900673
15,300,3,120,20,80,Adamax,linear,0.0014338959027548083
16,300,4,80,10,80,Adam,relu,0.001961914424233268
17,300,4,80,10,80,Adam,linear,0.0012178016691920398
18,300,4,80,10,80,Adamax,relu,0.0008208609790485135
19,300,4,80,10,80,Adamax,linear,0.004842533331557467
20,300,4,80,20,80,Adam,relu,0.02184990197417359
21,300,4,80,20,80,Adam,linear,0.00761756497988199
22,300,4,80,20,80,Adamax,relu,3.356030822655765e-05
23,300,4,80,20,80,Adamax,linear,0.0
24,300,4,120,10,80,Adam,relu,0.02270096925302755
25,300,4,120,10,80,Adam,linear,0.0
26,300,4,120,10,80,Adamax,relu,0.011107911304203447
27,300,4,120,10,80,Adamax,linear,0.0006099112865682224
28,300,4,120,20,80,Adam,relu,0.0015318032478399803
29,300,4,120,20,80,Adam,linear,0.0016998058770399025
30,300,4,120,20,80,Adamax,relu,0.0
31,300,4,120,20,80,Adamax,linear,0.0003390211427338296
32,400,3,80,10,80,Adam,relu,0.00012339035187569264
33,400,3,80,10,80,Adam,linear,0.0
34,400,3,80,10,80,Adamax,relu,0.0015501125151759713
35,400,3,80,10,80,Adamax,linear,0.00016340883727154748
36,400,3,80,20,80,Adam,relu,0.0
37,400,3,80,20,80,Adam,linear,0.0029664082441796477
38,400,3,80,20,80,Adamax,relu,0.0031328993677747184
39,400,3,80,20,80,Adamax,linear,6.824152297484422e-06
40,400,3,120,10,80,Adam,relu,0.006746212897069233
41,400,3,120,10,80,Adam,linear,9.48564279387036e-05
42,400,3,120,10,80,Adamax,relu,0.0
43,400,3,120,10,80,Adamax,linear,0.0001866413049525205
44,400,3,120,20,80,Adam,relu,0.0009899930113869385
45,400,3,120,20,80,Adam,linear,0.0033150645696884244
46,400,3,120,20,80,Adamax,relu,0.0
47,400,3,120,20,80,Adamax,linear,0.0
48,400,4,80,10,80,Adam,relu,0.00031998402472433824
49,400,4,80,10,80,Adam,linear,0.0007426484630772737
50,400,4,80,10,80,Adamax,relu,0.014047163416861649
51,400,4,80,10,80,Adamax,linear,0.0010312180202390823
52,400,4,80,20,80,Adam,relu,0.0
53,400,4,80,20,80,Adam,linear,8.549790184889795e-05
54,400,4,80,20,80,Adamax,relu,0.0
55,400,4,80,20,80,Adamax,linear,0.0
56,400,4,120,10,80,Adam,relu,0.0
57,400,4,120,10,80,Adam,linear,0.003409486915289991
58,400,4,120,10,80,Adamax,relu,0.015340536749436903
59,400,4,120,10,80,Adamax,linear,6.349224007080499e-05
60,400,4,120,20,80,Adam,relu,0.00013987014014084348
61,400,4,120,20,80,Adam,linear,0.006898909856933074
62,400,4,120,20,80,Adamax,relu,0.0008057943280214916
63,400,4,120,20,80,Adamax,linear,0.0002619973159545002
64,300,3,80,10,80,Adam,relu,0.000772909730283671
65,300,3,80,10,80,Adam,linear,0.004538702672757146
66,300,3,80,10,80,Adamax,relu,0.024343927906013266
67,300,3,80,10,80,Adamax,linear,0.00020277006663000426
68,300,3,80,20,80,Adam,relu,0.0
69,300,3,80,20,80,Adam,linear,0.004573888042427932
70,300,3,80,20,80,Adamax,relu,1.981525028992716e-05
71,300,3,80,20,80,Adamax,linear,0.0
72,300,3,120,10,80,Adam,relu,0.00040270079596026594
73,300,3,120,10,80,Adam,linear,0.0012259693303171258
74,300,3,120,10,80,Adamax,relu,0.010703512614908683
75,300,3,120,10,80,Adamax,linear,0.0013302411328825257
76,300,3,120,20,80,Adam,relu,0.002278516196611211
77,300,3,120,20,80,Adam,linear,0.005334247917385714
78,300,3,120,20,80,Adamax,relu,0.0
79,300,3,120,20,80,Adamax,linear,0.006169551707172106
80,300,4,80,10,80,Adam,relu,0.0007223371174131771
81,300,4,80,10,80,Adam,linear,0.0017832565311120979
82,300,4,80,10,80,Adamax,relu,0.001522616578548441
83,300,4,80,10,80,Adamax,linear,0.005007350416201443
84,300,4,80,20,80,Adam,relu,0.005618255001656234
85,300,4,80,20,80,Adam,linear,0.0007500738548701806
86,300,4,80,20,80,Adamax,relu,0.0048316014416420385
87,300,4,80,20,80,Adamax,linear,0.0
88,300,4,120,10,80,Adam,relu,0.00018075444581281766
89,300,4,120,10,80,Adam,linear,0.006974227683537932
90,300,4,120,10,80,Adamax,relu,0.0013302833665541694
91,300,4,120,10,80,Adamax,linear,0.0030251830862403975
92,300,4,120,20,80,Adam,relu,0.01079381615621437
93,300,4,120,20,80,Adam,linear,0.0
94,300,4,120,20,80,Adamax,relu,0.00040635444427587785
95,300,4,120,20,80,Adamax,linear,0.0007527354860083132
96,400,3,80,10,80,Adam,relu,0.00020887597373819104
97,400,3,80,10,80,Adam,linear,0.0002904256059014377
98,400,3,80,10,80,Adamax,relu,0.015155779822299743
99,400,3,80,10,80,Adamax,linear,0.0004087588219107791
100,400,3,80,20,80,Adam,relu,0.0
101,400,3,80,20,80,Adam,linear,0.021622997846046103
102,400,3,80,20,80,Adamax,relu,0.0
103,400,3,80,20,80,Adamax,linear,0.0030140484480934778
104,400,3,120,10,80,Adam,relu,0.0
105,400,3,120,10,80,Adam,linear,0.00603219876804393
106,400,3,120,10,80,Adamax,relu,0.0
107,400,3,120,10,80,Adamax,linear,0.025122639871836706
108,400,3,120,20,80,Adam,relu,0.0012677852343751191
109,400,3,120,20,80,Adam,linear,0.011540412013730161
110,400,3,120,20,80,Adamax,relu,0.0016145978261531547
111,400,3,120,20,80,Adamax,linear,3.028802839861931e-06
112,400,4,80,10,80,Adam,relu,0.0022500286090883304
113,400,4,80,10,80,Adam,linear,0.014762682756653975
114,400,4,80,10,80,Adamax,relu,0.0011448190815581583
115,400,4,80,10,80,Adamax,linear,0.0077105098864277
116,400,4,80,20,80,Adam,relu,0.0
117,400,4,80,20,80,Adam,linear,0.004885169925311269
118,400,4,80,20,80,Adamax,relu,0.0114827911023384
119,400,4,80,20,80,Adamax,linear,0.007646278590829318
120,400,4,120,10,80,Adam,relu,0.0036141964169654713
121,400,4,120,10,80,Adam,linear,0.0015262383651077362
122,400,4,120,10,80,Adamax,relu,0.0
123,400,4,120,10,80,Adamax,linear,0.0034906016374245613
124,400,4,120,20,80,Adam,relu,0.0
125,400,4,120,20,80,Adam,linear,0.0022856734922091526
126,400,4,120,20,80,Adamax,relu,0.0027868496171653983
127,400,4,120,20,80,Adamax,linear,0.0002496276187427554
128,300,3,80,10,80,Adam,relu,0.006042977512192067
129,300,3,80,10,80,Adam,linear,0.0009856092154855033
130,300,3,80,10,80,Adamax,relu,0.005586377797374073
131,300,3,80,10,80,Adamax,linear,0.0006242239744274102
132,300,3,80,20,80,Adam,relu,0.0007734271961361401
133,300,3,80,20,80,Adam,linear,0.017297238080738152
134,300,3,80,20,80,Adamax,relu,2.204125858020991e-06
135,300,3,80,20,80,Adamax,linear,0.0024487251790085746
136,300,3,120,10,80,Adam,relu,0.004497379806520294
137,300,3,120,10,80,Adam,linear,0.005689693566556509
138,300,3,120,10,80,Adamax,relu,0.0006795972908855401
139,300,3,120,10,80,Adamax,linear,0.002074893184813387
140,300,3,120,20,80,Adam,relu,0.0
141,300,3,120,20,80,Adam,linear,0.0030215944095720927
142,300,3,120,20,80,Adamax,relu,0.0
143,300,3,120,20,80,Adamax,linear,0.0036943151319549805
144,300,4,80,10,80,Adam,relu,0.007701976574408232
145,300,4,80,10,80,Adam,linear,0.006495772394588846
146,300,4,80,10,80,Adamax,relu,0.0006640714299105272
147,300,4,80,10,80,Adamax,linear,0.0009482476691889314
148,300,4,80,20,80,Adam,relu,0.0
149,300,4,80,20,80,Adam,linear,0.001137236724904658
150,300,4,80,20,80,Adamax,relu,2.1854602244908272e-05
151,300,4,80,20,80,Adamax,linear,7.38959505152453e-05
152,300,4,120,10,80,Adam,relu,0.0
153,300,4,120,10,80,Adam,linear,0.0015826733525136322
154,300,4,120,10,80,Adamax,relu,0.0
155,300,4,120,10,80,Adamax,linear,2.31616817869614e-06
156,300,4,120,20,80,Adam,relu,0.0004787891477683868
157,300,4,120,20,80,Adam,linear,0.010014481752656013
158,300,4,120,20,80,Adamax,relu,0.0002758477264497364
159,300,4,120,20,80,Adamax,linear,0.0014342492128621253
160,400,3,80,10,80,Adam,relu,0.00017621558586513052
161,400,3,80,10,80,Adam,linear,0.0
162,400,3,80,10,80,Adamax,relu,0.004324571160589178
163,400,3,80,10,80,Adamax,linear,0.006559790004470148
164,400,3,80,20,80,Adam,relu,0.0004883615531425624
165,400,3,80,20,80,Adam,linear,0.0043555932442619575
166,400,3,80,20,80,Adamax,relu,0.002662817750697999
167,400,3,80,20,80,Adamax,linear,0.0
168,400,3,120,10,80,Adam,relu,0.0012375472372175092
169,400,3,120,10,80,Adam,linear,0.00020219604243448987
170,400,3,120,10,80,Adamax,relu,0.0017354482292076111
171,400,3,120,10,80,Adamax,linear,0.002789693942419293
172,400,3,120,20,80,Adam,relu,0.0
173,400,3,120,20,80,Adam,linear,0.0001979203878969811
174,400,3,120,20,80,Adamax,relu,0.0
175,400,3,120,20,80,Adamax,linear,0.00029983686713388184
176,400,4,80,10,80,Adam,relu,0.003293127340868482
177,400,4,80,10,80,Adam,linear,1.7606637582009507e-05
178,400,4,80,10,80,Adamax,relu,0.00016882630515643212
179,400,4,80,10,80,Adamax,linear,3.2863538432153566e-05
180,400,4,80,20,80,Adam,relu,0.0061186865933298236
181,400,4,80,20,80,Adam,linear,0.0011168861539672906
182,400,4,80,20,80,Adamax,relu,0.0017694227271247307
183,400,4,80,20,80,Adamax,linear,0.0
184,400,4,120,10,80,Adam,relu,0.00016241105353565565
185,400,4,120,10,80,Adam,linear,0.0
186,400,4,120,10,80,Adamax,relu,0.00013048890893164601
187,400,4,120,10,80,Adamax,linear,0.0025476905965149724
188,400,4,120,20,80,Adam,relu,0.015794259333537394
189,400,4,120,20,80,Adam,linear,0.0002074572214374505
190,400,4,120,20,80,Adamax,relu,0.0030178037904318666
191,400,4,120,20,80,Adamax,linear,0.0010018012732406407
